,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,-0.006137590158244665,-0.0062146388844881864,-0.006036769186715898,-0.006046187203471064,-0.0059296750438508315,-0.006044568654222415,-0.006572852953755265,-0.005775487204455164,-0.0067408819674383644,-0.006257967457609237,-0.006281400604431877,-0.006461051415289264,-0.006043495235264352
1,-0.005930062026602668,-0.005470995803245515,-0.005305897779099469,-0.0054194614135989845,-0.00531374714504125,-0.005407250380369174,-0.005801299380311364,-0.005118399292274235,-0.005835772259017011,-0.005586837935392245,-0.005803756308096482,-0.006221043387096776,-0.005390451579129396
2,-0.005256004794960779,-0.005807708150980455,-0.005624451512964425,-0.00569900574542571,-0.005591282495703297,-0.005703103721062478,-0.005683901633314859,-0.0051263620674155495,-0.0056398267534503495,-0.0056439561820530405,-0.005660083288218244,-0.0053866188028169025,-0.005702960155556808
3,-0.006996641097726538,-0.006884647036881102,-0.006905233256449438,-0.00689289557864568,-0.00675739146854499,-0.006890527234547261,-0.007034486728265022,-0.0063662467877905705,-0.0072516527262477745,-0.006897804521540611,-0.007141197984412606,-0.007204407932790238,-0.006889245942718313
4,-0.005823661746851631,-0.005784385830502901,-0.005881250624457728,-0.005788119854378884,-0.005676387345673706,-0.005787065285278012,-0.005958870191385787,-0.0054097650400305375,-0.006288811795623627,-0.005708950208749426,-0.005842628555680157,-0.005963934780793322,-0.005797375538740493
5,-0.006029271908368038,-0.006163805953698924,-0.006084500200193054,-0.0060745485804763015,-0.005957039006292385,-0.006076391822695933,-0.006380558089649958,-0.005476105670404204,-0.006510557855687209,-0.005957973567973432,-0.005990712502122136,-0.005982959499999993,-0.00607619528167794
6,-0.005701929369723084,-0.005519140541789327,-0.005429150938378251,-0.005464226268866142,-0.005347555661348367,-0.005456370096289264,-0.005536620203654165,-0.004768472982601531,-0.005661889656326783,-0.005529049091204859,-0.00560743611820993,-0.00619233345841785,-0.005441408033275737
7,-0.0072496435227770275,-0.005999465680007616,-0.006016233371806099,-0.006063759368659404,-0.005944022019008297,-0.0060637008174214465,-0.006725176524408617,-0.006123405709215895,-0.0070424249170058925,-0.006244723685809456,-0.006459860624421546,-0.006058676479915429,-0.006064439471206025
8,-0.005925868873586098,-0.005851809200757153,-0.005743967196880367,-0.005780967952237526,-0.005668605879309451,-0.005781173829957687,-0.006006218602421996,-0.005133211974601767,-0.006061661918868096,-0.005898614995853149,-0.005949485754671592,-0.005729316896551724,-0.005781721609120005
9,-0.0055719673707637935,-0.005998289661649918,-0.0060301932686066305,-0.006026230900889766,-0.0059016199977308436,-0.00602040099517933,-0.006333470795474121,-0.005167178648286795,-0.006377032018362116,-0.006223347002646092,-0.006168543286904394,-0.006865819256198339,-0.0060167432518508784
