,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,15807.103198483757,-6694.226316079989,-9339.211488397183,-11445.25008642773,-946.5453238370606,-11129.83807713697,-11782.931570717055,-4525.216807034509,-9101.78334168461,-10764.669764227,-3459.471860023372,-20242.51163967972,-13574.53726875794
1,-75472.5757212367,-5124.471778453731,-32012.30884134768,-10568.092472136625,-338.5822542874423,-10320.693966389073,-8306.233427453308,-6019.977753419203,-9431.249310984134,-10481.3791305318,-2405.2658758161883,-18533.967297050374,-14760.965709421
2,-11020.615318507476,-7847.804959762727,-21600.55474229944,-10035.984355145898,-957.3202077409732,-9904.811664556002,-9886.913683506747,-3890.6325067721336,-10007.128225550554,-9211.288983545175,-2601.5036017949806,-18214.38592360389,-14032.355062162722
3,-90610.55309159562,-9729.122054533162,-6045.99048657364,-9278.349064811682,-729.2006423247692,-9346.462880216413,-9155.569042809391,-3070.7546440922456,-6928.975009521381,-6718.246856283497,-2613.817692162635,-20146.462265513317,-13914.973538462851
4,87939.82784735429,-9324.149058083287,-33820.60707283406,-8715.154739960843,-481.84733945347506,-8514.492438906393,-9441.553477017971,-4339.69384051918,-6633.122536046893,-8844.368547709106,-2957.947817297787,-19234.293390129453,-14056.392143344414
5,43768.599665153764,-6384.850489593654,-5938.229133917119,-9195.020411626354,-463.88685741438917,-9105.770073796653,-6465.808475059591,-3850.9012169942357,-5889.461197384511,-9011.78441352142,-2120.2582323705087,-20025.48429355421,-14070.6289333073
6,-61759.060789086376,-3678.6397354995743,-12973.290179697415,-8861.639510683086,-897.9882869381032,-8823.790717611268,-7303.202788201728,-5083.63904924628,-8599.928305119332,-7393.074268101554,-3346.8581834911442,-18623.659636880886,-13425.884656661945
7,-47107.68337656901,-7053.132653331519,-6224.693296429275,-10463.905424505523,-316.2186224814902,-10256.489589107845,-11065.929142046065,-5505.461598101498,-9948.7256065416,-10517.48429113009,-3669.6799394286145,-16736.054215501736,-13665.412517868572
8,-84673.80414361274,-7706.281393564973,-17935.072318059883,-9809.173177230432,-94.60616015944605,-9741.200049555937,-6695.963163836901,-3388.5785193621446,-4692.603962119727,-7617.193441963001,-2690.975832659659,-18641.340962508726,-13839.73917268208
9,-72567.24161075575,-3461.649244377305,-49909.88553513105,-12197.7246712654,-595.4012241921907,-11964.616584236695,-13089.813346628258,-7780.547805436158,-10699.98799021912,-12430.492204628908,-4217.34103411944,-20851.358231573035,-15057.753602358696
