,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,14920.797534421257,-7580.531980142489,-10225.517152459683,-12331.55575049023,-1832.8509878995606,-12016.14374119947,-12669.237234779555,-5411.522471097009,-9988.08900574711,-11650.9754282895,-4345.777524085872,-21128.81730374222,-14460.84293282044
1,-76358.8813852992,-6010.777442516231,-32898.61450541018,-11454.398136199125,-1224.8879183499423,-11206.999630451573,-9192.539091515808,-6906.283417481703,-10317.554975046634,-11367.6847945943,-3291.5715398786883,-19420.272961112874,-15647.2713734835
2,-11906.920982569976,-8734.110623825227,-22486.86040636194,-10922.290019208398,-1843.6258718034733,-10791.117328618502,-10773.219347569247,-4776.938170834634,-10893.433889613054,-10097.594647607675,-3487.8092658574806,-19100.69158766639,-14918.660726225222
3,-91496.85875565812,-10615.427718595662,-6932.29615063614,-10164.654728874182,-1615.5063063872692,-10232.768544278913,-10041.874706871891,-3957.0603081547456,-7815.280673583881,-7604.552520345997,-3500.123356225135,-21032.767929575817,-14801.279202525351
4,87053.52218329179,-10210.454722145787,-34706.91273689656,-9601.460404023343,-1368.1530035159751,-9400.798102968893,-10327.859141080471,-5225.99950458168,-7519.428200109393,-9730.674211771606,-3844.253481360287,-20120.599054191953,-14942.697807406914
5,42882.294001091264,-7271.156153656154,-6824.534797979619,-10081.326075688854,-1350.1925214768892,-9992.075737859153,-7352.114139122091,-4737.206881056736,-6775.766861447011,-9898.09007758392,-3006.5638964330087,-20911.78995761671,-14956.9345973698
6,-62645.366453148876,-4564.945399562074,-13859.595843759915,-9747.945174745586,-1784.293951000603,-9710.096381673768,-8189.508452264228,-5969.94471330878,-9486.233969181832,-8279.379932164054,-4233.163847553644,-19509.965300943386,-14312.190320724445
7,-47993.98904063151,-7939.438317394019,-7110.998960491775,-11350.211088568023,-1202.5242865439902,-11142.795253170345,-11952.234806108565,-6391.767262163998,-10835.0312706041,-11403.78995519259,-4555.9856034911145,-17622.359879564236,-14551.718181931072
8,-85560.10980767524,-8592.587057627472,-18821.377982122383,-10695.478841292932,-980.9118242219461,-10627.505713618437,-7582.268827899401,-4274.884183424645,-5578.909626182227,-8503.499106025502,-3577.281496722159,-19527.646626571226,-14726.04483674458
9,-73453.54727481825,-4347.954908439805,-50796.19119919355,-13084.0303353279,-1481.7068882546907,-12850.922248299195,-13976.119010690758,-8666.85346949866,-11586.29365428162,-13316.797868691408,-5103.64669818194,-21737.663895635535,-15944.059266421196
