treat,age,education,black,hispanic,married,nodegree,re75,re78
0,17,10,0,0,0,1,2465.613,4211.662
1,24,9,1,0,0,1,2288.675,4849.559
1,20,10,1,0,0,1,5100.839,13626.04
0,25,11,1,0,1,1,0.0,44.75546
0,23,11,1,0,0,1,0.0,0.0
1,25,8,1,0,0,1,37431.66,2346.828
0,26,10,1,0,0,1,0.0,3931.238
0,21,11,1,0,0,1,1862.889,11630.66
0,19,11,1,0,0,1,1868.021,0.0
0,27,10,1,0,0,1,0.0,1135.47
0,35,11,1,0,1,1,8720.905,0.0
0,23,8,1,0,0,1,3403.056,0.0
1,19,10,1,0,0,1,385.2741,8124.715
0,23,11,1,0,0,1,0.0,0.0
1,28,10,1,0,0,1,2836.506,3196.571
1,26,10,1,0,1,1,0.0,0.0
1,18,11,0,1,0,1,5491.535,2454.5
0,27,11,1,0,0,1,766.2986,0.0
0,23,10,1,0,0,1,0.0,0.0
0,25,9,0,1,0,1,0.0,15791.13
0,19,9,0,1,0,1,2750.841,15581.44
1,23,12,1,0,0,0,7841.972,7947.257
1,27,8,1,0,0,1,0.0,0.0
0,22,9,1,0,0,1,0.0,0.0
0,35,10,1,0,0,1,9902.763,9453.827
0,39,11,1,0,0,1,83.68964,0.0
1,31,9,1,0,0,1,5517.841,9558.501
0,24,11,1,0,0,1,13370.58,19533.88
1,27,8,1,0,0,1,0.0,0.0
0,22,8,1,0,0,1,6150.52,0.0
0,22,10,0,0,0,1,10598.67,7094.92
1,24,9,1,0,0,1,2288.675,4849.559
0,28,10,1,0,1,1,6449.48,16988.18
0,34,11,1,0,1,1,0.0,6040.335
0,18,9,0,1,0,1,2684.91,2978.669
0,20,6,1,0,0,1,2850.61,0.0
0,25,11,0,1,1,1,0.0,4485.616
0,18,11,1,0,0,1,1170.327,604.2287
1,23,8,0,0,1,1,1713.15,4232.309
1,27,13,1,0,0,0,0.0,14581.86
1,28,9,1,0,0,1,0.0,10694.29
1,30,11,1,0,1,1,0.0,590.7818
0,25,8,1,0,0,1,0.0,3515.929
0,19,10,1,0,0,1,0.0,4309.878
1,33,11,1,0,0,1,7867.916,6281.433
1,21,11,0,0,0,1,946.2279,11412.24
1,27,10,0,1,0,1,0.0,11142.87
0,19,10,0,1,0,1,0.0,0.0
0,20,12,1,0,0,0,591.8151,4159.919
0,29,12,0,0,0,0,12205.14,16328.96
1,25,11,1,0,0,1,0.0,485.2298
0,28,12,1,0,1,0,5551.456,12780.02
0,22,12,1,0,0,0,532.2536,1333.445
1,20,11,1,0,0,1,0.0,3972.54
1,17,10,1,0,0,1,156.9491,10641.24
0,22,11,1,0,0,1,875.2615,9139.652
1,28,10,1,0,0,1,2836.506,3196.571
0,31,8,1,0,0,1,4577.68,6153.83
1,21,13,0,0,0,0,8616.852,99.57002
1,28,11,1,0,0,1,6871.856,0.0
1,26,10,1,0,1,1,0.0,0.0
0,20,9,1,0,0,1,9691.033,8562.603
0,19,11,1,0,0,1,8870.879,7396.292
0,36,7,1,0,0,1,1606.662,20780.65
0,25,12,1,0,1,0,0.0,0.0
0,32,10,1,0,0,1,0.0,0.0
1,24,12,1,0,0,0,2842.764,6167.681
1,28,10,1,0,0,1,2836.506,3196.571
0,22,12,1,0,0,0,2003.68,439.6881
1,31,11,1,0,1,1,0.0,8087.487
1,22,11,1,0,0,1,12170.94,8408.393
1,41,9,1,0,1,1,7212.12,3154.72
1,22,10,1,0,0,1,1071.108,7315.452
1,18,10,1,0,0,1,1371.017,12064.41
0,21,10,1,0,0,1,1162.362,39483.53
0,18,9,1,0,0,1,0.0,10740.08
0,26,12,1,0,0,0,8479.593,10820.55
1,24,11,1,0,1,1,1666.113,4032.708
0,18,12,1,0,0,0,1405.512,0.0
0,19,11,1,0,0,1,0.0,0.0
0,27,7,1,0,1,1,0.0,0.0
1,30,11,1,0,0,1,0.0,0.0
0,20,13,1,0,0,0,8965.243,9199.563
1,18,10,0,1,0,1,12625.51,0.0
0,17,8,1,0,0,1,2036.79,0.0
0,28,12,0,0,0,0,803.343,16477.02
0,17,9,1,0,0,1,0.0,3590.702
0,23,11,1,0,0,1,1896.023,5573.547
0,19,10,1,0,0,1,0.0,4309.878
1,27,11,1,0,0,1,14223.5,7661.973
0,20,10,1,0,0,1,0.0,2015.503
0,33,12,1,0,0,0,0.0,5970.257
1,23,12,1,0,0,0,501.0741,671.3318
0,25,11,1,0,0,1,2455.067,8764.148
0,28,10,1,0,0,1,10068.4,0.0
1,25,11,1,0,0,1,0.0,9897.049
1,21,12,1,0,0,0,0.0,1254.582
1,27,12,1,0,1,0,7806.387,2777.585
1,20,11,1,0,0,1,1220.836,1085.44
1,20,6,0,1,1,1,10802.98,4488.495
1,40,12,1,0,0,0,0.0,10804.32
0,36,12,0,1,0,0,11491.95,4978.501
0,30,11,1,0,1,1,24105.39,7263.025
1,21,11,0,1,0,1,1395.39,0.0
1,17,8,1,0,0,1,0.0,0.0
1,25,11,1,0,0,1,0.0,9897.049
0,34,12,1,0,0,0,0.0,2113.722
0,35,10,1,0,0,1,9902.763,9453.827
1,17,9,0,0,0,1,1618.15,6011.021
1,31,9,1,0,0,1,5517.841,9558.501
0,27,12,0,1,0,0,2677.771,17395.17
1,20,12,0,0,1,0,8644.156,11656.51
1,25,10,0,0,0,1,4712.874,6103.746
0,20,11,1,0,0,1,7967.209,0.0
1,33,12,0,0,1,0,0.0,12418.07
1,18,10,0,1,0,1,2589.042,0.0
0,24,12,0,0,0,0,0.0,11294.63
1,19,11,1,0,0,1,192.7995,661.1924
0,24,9,1,0,0,1,0.0,16461.57
1,28,11,1,0,1,1,6952.58,7318.186
1,20,10,1,0,0,1,11073.09,0.0
0,17,10,0,0,0,1,2465.613,4211.662
0,18,12,1,0,0,0,1405.512,0.0
0,45,11,1,0,0,1,0.0,11796.47
1,19,9,0,1,0,1,6511.124,7913.386
1,27,10,0,1,0,1,421.3024,3075.862
0,22,12,1,0,1,0,9352.199,8072.181
0,19,10,1,0,0,1,0.0,4309.878
0,25,11,1,0,0,1,3649.769,0.0
0,18,11,1,0,0,1,4152.609,4164.767
0,25,11,1,0,0,1,0.0,1264.232
1,21,12,1,0,0,0,807.9511,4350.907
0,24,10,1,0,0,1,0.0,7618.639
0,34,10,1,0,1,1,0.0,0.0
0,27,11,1,0,0,1,0.0,11197.34
0,20,11,1,0,0,1,2531.311,0.0
0,28,9,1,0,1,1,9210.447,1239.844
1,21,12,1,0,0,0,0.0,1254.582
0,33,11,1,0,0,1,0.0,0.0
1,41,14,0,0,0,0,0.0,5149.501
1,24,11,1,0,0,1,0.0,1991.4
0,18,9,1,0,0,1,1413.863,3475.52
1,29,13,1,0,0,0,0.0,7479.656
0,24,11,0,0,0,1,1468.383,10361.69
1,19,8,1,0,0,1,2657.057,9970.681
0,17,9,0,1,0,1,671.2271,4209.579
0,25,11,1,0,0,1,3072.726,284.6584
1,22,9,1,0,0,1,0.0,4056.494
0,23,11,0,0,0,1,19995.64,12896.22
1,29,4,1,0,0,1,0.0,762.9146
0,29,11,1,0,1,1,0.0,10225.88
0,27,10,1,0,0,1,0.0,1135.47
1,25,11,1,0,0,1,0.0,0.0
0,18,11,1,0,0,1,0.0,4657.273
1,34,11,0,1,0,1,4641.467,2877.682
0,17,9,1,0,0,1,1206.441,0.0
0,28,12,1,0,1,0,5551.456,12780.02
0,17,9,0,1,0,1,671.2271,4209.579
0,25,12,1,0,0,0,0.0,3418.097
0,39,12,1,0,1,0,6608.137,499.2572
0,23,8,1,0,0,1,3403.056,0.0
1,19,11,1,0,0,1,0.0,7458.105
1,38,11,1,0,0,1,0.0,0.0
1,26,10,1,0,1,1,0.0,0.0
0,18,12,0,0,0,0,735.2051,2502.526
1,18,8,0,1,1,1,0.0,2787.96
0,31,13,1,0,0,0,10393.61,7404.762
0,31,10,1,0,0,1,0.0,17014.59
0,26,10,1,0,0,1,0.0,3931.238
0,24,11,0,0,0,1,1468.383,10361.69
1,38,11,1,0,0,1,0.0,0.0
1,30,10,1,0,0,1,2615.817,0.0
0,19,10,1,0,0,1,0.0,4309.878
1,23,11,1,0,0,1,8959.589,1659.5
0,19,10,1,0,1,1,0.0,12797.67
1,27,9,1,0,1,1,934.4454,1773.423
0,23,10,1,0,0,1,0.0,0.0
0,22,12,1,0,0,0,2158.05,0.0
0,38,10,1,0,0,1,0.0,12429.91
0,26,8,1,0,0,1,5562.598,3523.578
0,30,9,0,0,0,1,3141.917,1320.923
1,21,12,1,0,0,0,807.9511,4350.907
0,17,9,1,0,0,1,620.9627,18085.73
0,19,11,1,0,0,1,0.0,0.0
1,20,9,1,0,0,1,0.0,8881.665
0,24,4,0,1,0,1,0.0,3880.833
1,18,8,1,0,0,1,1199.641,0.0
0,26,12,0,0,0,0,0.0,12383.68
1,29,13,1,0,0,0,0.0,7479.656
0,30,12,1,0,0,0,0.0,13613.35
0,28,10,1,0,0,1,367.8234,4858.895
0,17,8,1,0,0,1,0.0,8993.865
1,25,12,0,0,0,0,0.0,5587.503
1,18,9,1,0,0,1,0.0,4482.845
1,42,12,1,0,0,0,0.0,2456.153
0,24,11,1,0,0,1,1327.993,9495.902
0,20,9,1,0,0,1,2483.852,0.0
1,21,11,0,1,0,1,17983.71,15191.91
0,28,9,1,0,1,1,9210.447,1239.844
1,22,11,1,0,0,1,606.9609,317.8952
1,17,9,0,0,0,1,1618.15,6011.021
0,35,11,1,0,1,1,8720.905,0.0
1,26,12,1,0,0,0,1088.907,11460.56
0,22,11,1,0,0,1,2707.372,100.6998
1,19,11,1,0,0,1,0.0,7458.105
0,18,11,1,0,0,1,4152.609,4164.767
0,24,7,1,0,0,1,0.0,1455.69
0,23,10,1,0,0,1,0.0,0.0
1,21,9,1,0,0,1,5749.331,743.6666
0,20,12,0,0,0,0,3104.815,12573.97
1,19,11,1,0,0,1,192.7995,661.1924
1,20,9,1,0,0,1,0.0,8881.665
1,22,9,0,1,0,1,0.0,3595.894
0,25,10,0,0,0,1,8140.402,3412.955
0,28,12,0,0,0,0,803.343,16477.02
0,23,10,1,0,0,1,0.0,0.0
0,34,12,1,0,0,0,4087.214,5670.82
0,31,10,1,0,0,1,0.0,0.0
1,27,11,1,0,1,1,2142.217,2186.189
0,26,5,1,0,0,1,0.0,0.0
1,18,8,1,0,0,1,1199.641,0.0
0,19,11,1,0,0,1,393.8598,2481.518
0,19,10,0,1,0,1,0.0,0.0
1,27,10,0,1,0,1,421.3024,3075.862
0,20,10,1,0,0,1,0.0,8598.522
1,23,12,0,1,0,0,1117.439,559.4432
1,23,12,0,0,0,0,3903.195,796.5597
0,23,11,0,0,0,1,19995.64,12896.22
0,26,12,1,0,0,0,0.0,0.0
0,28,9,1,0,1,1,9210.447,1239.844
0,42,10,1,0,0,1,0.0,6930.336
1,29,4,1,0,0,1,0.0,762.9146
0,21,11,1,0,1,1,7652.12,8396.654
1,25,12,1,0,0,0,0.0,2348.973
0,37,10,1,0,0,1,8606.743,0.0
1,18,8,1,0,0,1,1199.641,0.0
1,27,11,1,0,0,1,0.0,549.2984
1,20,12,1,0,0,0,0.0,0.0
0,19,11,0,0,0,1,0.0,0.0
1,25,12,1,0,0,0,0.0,11965.81
0,29,8,1,0,0,1,0.0,0.0
1,22,11,1,0,0,1,8774.791,18295.82
1,26,10,1,0,0,1,6788.958,672.8773
0,19,10,0,1,0,1,1197.462,11223.72
0,23,11,1,0,0,1,0.0,0.0
0,31,10,1,0,0,1,0.0,0.0
0,24,10,1,0,0,1,1307.908,0.0
1,24,11,1,0,0,1,0.0,995.7002
0,24,10,1,0,0,1,0.0,0.0
1,28,11,1,0,0,1,6871.856,0.0
0,19,11,0,0,0,1,823.2544,2649.599
0,27,12,0,1,0,0,24276.97,15762.88
1,18,9,1,0,0,1,1285.33,15369.48
0,19,11,0,1,1,1,308.2192,0.0
1,17,9,1,0,0,1,1253.439,5445.2
0,28,10,1,0,0,1,10068.4,0.0
0,17,9,0,1,0,1,0.0,5114.814
1,17,10,1,0,0,1,0.0,0.0
1,20,9,1,0,0,1,0.0,8881.665
1,20,9,0,1,0,1,5875.049,1358.643
0,50,10,0,1,0,1,0.0,0.0
0,21,7,1,0,0,1,0.0,11011.57
0,22,9,1,0,0,1,506.4076,604.1987
1,25,11,1,0,0,1,0.0,0.0
1,41,9,1,0,1,1,5783.981,0.0
0,36,7,1,0,0,1,1606.662,20780.65
0,25,10,1,0,0,1,0.0,289.7899
1,20,11,1,0,0,1,6426.646,16451.46
1,20,12,1,0,0,0,1160.366,702.1839
1,18,10,1,0,0,1,798.9079,9737.154
1,38,11,1,0,0,1,0.0,0.0
1,25,11,1,0,0,1,0.0,0.0
1,31,11,1,0,1,1,0.0,8087.487
1,27,8,1,0,0,1,0.0,0.0
1,19,11,1,0,0,1,192.7995,661.1924
1,19,8,1,0,0,1,2657.057,9970.681
1,18,9,1,0,0,1,0.0,4482.845
0,18,9,1,0,0,1,2006.629,6546.01
1,34,11,0,1,0,1,4641.467,2877.682
1,33,11,1,0,1,1,25142.24,4181.942
0,20,11,0,0,1,1,8159.507,6336.783
0,26,11,1,0,1,1,4184.732,0.0
1,18,10,1,0,0,1,1371.017,12064.41
0,24,9,1,0,0,1,4118.681,597.42
1,38,11,1,0,0,1,0.0,0.0
0,21,8,1,0,0,1,2237.208,1764.108
0,24,11,1,0,0,1,13370.58,19533.88
0,27,12,1,0,1,0,752.3901,0.0
0,18,11,1,0,0,1,0.0,11303.14
0,34,11,1,0,1,1,0.0,6040.335
1,31,9,0,1,0,1,0.0,26817.6
1,27,10,1,0,0,1,3550.075,0.0
0,25,8,1,0,0,1,0.0,3515.929
0,25,10,0,0,0,1,8140.402,3412.955
0,20,9,0,1,0,1,0.0,8329.823
1,19,11,1,0,0,1,532.2536,0.0
1,21,12,1,0,0,0,0.0,9983.784
0,19,10,1,0,0,1,0.0,5286.396
0,45,11,1,0,0,1,0.0,11796.47
0,18,11,1,0,0,1,0.0,0.0
0,27,10,1,0,0,1,0.0,1135.47
0,20,12,1,0,0,0,1371.473,20893.11
0,23,10,1,0,1,1,9854.153,0.0
0,55,3,1,0,0,1,0.0,5843.796
0,39,9,1,0,0,1,0.0,0.0
1,18,11,1,0,0,1,214.5636,929.8839
0,18,8,0,1,0,1,2483.852,11135.53
0,18,9,0,1,0,1,1646.51,1065.672
0,38,10,1,0,0,1,0.0,0.0
1,23,12,1,0,1,0,0.0,5911.551
0,20,9,1,0,0,1,0.0,5193.089
0,22,11,1,0,0,1,0.0,0.0
1,29,14,1,0,0,0,679.6734,17814.98
0,20,7,0,1,0,1,0.0,4374.04
0,29,12,1,0,0,0,0.0,1890.937
0,22,11,1,0,0,1,6974.484,3708.719
1,24,10,1,0,0,1,0.0,0.0
0,28,8,1,0,0,1,10610.08,4623.188
0,18,11,1,0,0,1,0.0,11303.14
1,24,11,1,0,0,1,9180.92,0.0
1,22,11,0,0,0,1,0.0,1048.432
1,17,10,1,0,0,1,0.0,0.0
1,27,13,1,0,0,0,0.0,14581.86
0,23,11,1,0,0,1,0.0,4350.907
0,31,12,1,0,0,0,5613.909,0.0
0,39,9,1,0,0,1,0.0,0.0
0,18,11,1,0,0,1,4152.609,4164.767
1,22,9,1,0,0,1,3836.986,3462.564
1,28,11,1,0,1,1,6952.58,7318.186
0,18,12,1,0,0,0,1405.512,0.0
0,18,12,1,0,0,0,642.6645,14444.71
1,17,10,1,0,0,1,0.0,0.0
0,32,10,1,0,0,1,0.0,0.0
1,31,9,1,0,0,1,1698.607,10363.27
0,23,11,1,0,0,1,0.0,0.0
0,22,8,1,0,0,1,0.0,1390.509
1,21,11,0,0,0,1,946.2279,11412.24
0,17,8,1,0,0,1,0.0,7010.444
0,36,12,0,1,0,0,11491.95,4978.501
0,31,10,1,0,1,1,0.0,0.0
0,17,10,0,1,0,1,0.0,8469.275
0,17,10,1,0,0,1,1726.439,11061.62
1,25,11,1,0,0,1,0.0,485.2298
1,21,11,0,1,0,1,1395.39,0.0
0,25,11,1,0,0,1,4284.429,4116.702
1,20,9,0,1,0,1,8015.442,5487.97
0,20,12,1,0,0,0,0.0,0.0
0,25,11,1,0,0,1,3072.726,284.6584
0,20,11,1,0,0,1,3248.937,6027.639
1,27,8,1,0,0,1,0.0,0.0
0,19,11,1,0,0,1,2445.589,9772.283
1,21,12,1,0,0,0,0.0,1254.582
0,30,11,1,0,1,1,24105.39,7263.025
1,27,11,1,0,0,1,2483.852,0.0
0,17,8,0,0,0,1,0.0,10210.99
0,20,12,1,0,0,0,4932.215,6086.966
0,22,8,0,1,0,1,0.0,9920.945
0,20,11,1,0,0,1,8012.085,18155.83
0,17,10,0,1,0,1,0.0,8469.275
0,22,11,1,0,1,1,0.0,1698.304
1,31,11,1,0,1,1,0.0,14509.93
0,25,11,0,1,1,1,0.0,4485.616
1,49,8,0,0,1,1,7285.948,16717.12
0,20,11,0,0,0,1,1177.118,8743.071
0,22,8,1,0,0,1,6150.52,0.0
